SMILES,IC50,Number_of_Atoms,Voronoi_Entropy,Shennon_Enthropy
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,13.0,34,1.0054668293254954,2.722625702226833
CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,13.0,36,1.1735173549838456,2.7881922800873093
CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC(C)(C)C)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,13.0,37,1.3255768414076812,2.6714444442430128
CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)Cl,13.0,36,1.1735173549838456,2.7386559343748176
CCC(CC(=O)NC(CC1CC1)C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)C4=CC=CC=C4,13.0,37,1.1680632181194017,2.7001407247733527
C1=CC=C2C(=C1)N=NN2OC(=O)C(=O)C3=CC4=C(N3)C=C(C=C4)F,14.0,24,1.331660286822432,2.9851810758351167
CC1=CC(=C(C(=N1)C)C(=O)OCC(=O)C(CC2CCCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C(F)(F)F,14.0,49,1.4097081013532113,2.820163695553713
CC1=C(C=CC=N1)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,14.0,43,1.3866874823832476,2.723560983311184
CC1=C(C(=NC=C1)CN(C)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,14.0,47,1.3648730085116358,2.708744198607789
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CC2=CC=CC=C2CN(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,14.0,47,1.2934602650462337,2.6580470472373556
CC1(C2C1C(N(C2)C(=O)C(CN3C=CC=N3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,14.0,37,1.4261642160862023,3.025527309109643
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=CC2=CC(=NC=C2N1)OC,14.0,32,1.2319253440933458,2.7281458399052188
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=CC2=C(N1)C=CN=C2,14.0,30,1.2112465729695872,2.7309763222080408
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2Cl,14.0,32,1.1645953713991983,2.8003783420247035
